FIPS,County,value1,value2,value3
"41051","Multnomah County",13,5,302
"41053","Polk County",1,1,43
"41061","Union County",7,3,248
"41067","Washington County",25,7,820
"41071","Yamhill County",2,1,88
"42001","Adams County",5,2,134
"42003","Allegheny County",93,12,1185
"42007","Beaver County",2,1,69
"42017","Bucks County",7,3,33
"42019","Butler County",3,2,135
"42029","Chester County",18,10,636
"42041","Cumberland County",7,3,330
"42043","Dauphin County",4,2,152
"42045","Delaware County",68,10,770
"42049","Erie County",17,3,282
"42051","Fayette County",39,1,441
"42063","Indiana County",5,1,64
"42069","Lackawanna County",2,1,18
"42071","Lancaster County",4,2,116
"42079","Luzerne County",0,1,0
"42089","Monroe County",1,1,48
"42091","Montgomery County",355,20,2005
"42095","Northampton County",7,3,196
"42101","Philadelphia County",104,21,2727
"42107","Schuylkill County",2,1,114
"42109","Snyder County",3,1,12
"42115","Susquehanna County",3,2,127
"42123","Warren County",4,1,72
"42129","Westmoreland County",18,2,271
"42133","York County",3,2,92
"44001","Bristol County",10,2,179
"44003","Kent County",2,2,70
"44005","Newport County",5,1,97
"44007","Providence County",51,11,846
"44009","Washington County",3,1,265
"45007","Anderson County",5,1,38
"45013","Beaufort County",2,1,72
"45019","Charleston County",22,5,475
"45031","Darlington County",3,2,36
"45035","Dorchester County",2,1,120
"45041","Florence County",3,1,105
"45043","Georgetown County",3,2,75
"45045","Greenville County",3,2,54
"45047","Greenwood County",2,1,100
"45053","Jasper County",5,1,77
"45063","Lexington County",20,3,549
"45079","Richland County",33,6,747
"45083","Spartanburg County",2,1,90
"46081","Lawrence County",15,2,249
"46083","Lincoln County",14,1,218
"47001","Anderson County",1,1,17
"47037","Davidson County",14,3,173
"47045","Dyer County",1,1,58
"47053","Gibson County",1,1,54
"47059","Greene County",3,1,48
"47063","Hamblen County",1,1,70
"47065","Hamilton County",9,3,248
"47091","Johnson County",1,1,25
"47093","Knox County",10,3,231
"47119","Maury County",2,2,61
"47125","Montgomery County",5,1,12
"47141","Putnam County",10,1,74
"47149","Rutherford County",1,1,79
"47157","Shelby County",2,3,142
"47179","Washington County",7,2,258
"47187","Williamson County",39,3,447
"48001","Anderson County",2,1,121
"48027","Bell County",10,2,92
"48029","Bexar County",51,7,873
"48039","Brazoria County",2,2,76
"48041","Brazos County",2,1,24
"48051","Burleson County",1,1,5
"48061","Cameron County",41,5,1266
"48085","Collin County",38,10,1378
"48091","Comal County",1,1,12
"48113","Dallas County",72,21,1358
"48123","DeWitt County",8,1,35
"48131","Duval County",3,1,133
"48141","El Paso County",17,5,426
"48157","Fort Bend County",29,6,842
"48181","Grayson County",3,1,102
"48183","Gregg County",1,1,12
"48201","Harris County",378,29,3659
"48209","Hays County",7,2,138
"48215","Hidalgo County",5,2,344
"48257","Kaufman County",11,3,162
"48303","Lubbock County",10,3,376
"48309","McLennan County",6,1,108
"48325","Medina County",2,1,83
"48339","Montgomery County",27,6,747
"48349","Navarro County",2,1,32
"48355","Nueces County",0,1,96
"48375","Potter County",12,2,344
"48381","Randall County",1,1,43
"48397","Rockwall County",3,2,153
"48437","Swisher County",8,1,135
"48439","Tarrant County",50,6,619
"48453","Travis County",7,3,180
"48457","Tyler County",2,1,40
"48469","Victoria County",1,1,113
"48479","Webb County",2,1,48
"48481","Wharton County",1,1,48
"48485","Wichita County",6,1,81
"48491","Williamson County",3,2,92
"49003","Box Elder County",1,1,65
"49011","Davis County",18,5,834
"49035","Salt Lake County",37,10,1158
"49037","San Juan County",6,1,88
"49047","Uintah County",1,1,43
"49049","Utah County",63,7,980
"49053","Washington County",1,1,15
"49057","Weber County",5,1,278
"50007","Chittenden County",1,1,43
"50015","Lamoille County",4,1,18
"50017","Orange County",8,1,22
"50019","Orleans County",4,1,51
"50023","Washington County",8,2,66
"50025","Windham County",4,2,100
"51003","Albemarle County",1,1,48
"51041","Chesterfield County",7,2,211
"51043","Clarke County",4,0,168
"51059","Fairfax County",77,17,2710
"51061","Fauquier County",5,2,117
"51065","Fluvanna County",1,1,35
"51067","Franklin County",23,3,336
"51087","Henrico County",32,8,992
"51095","James City County",1,1,50
"51097","King and Queen County",3,1,86
"51099","King George County",1,1,32
"51107","Loudoun County",19,10,573
"51109","Louisa County",7,2,133
"51139","Page County",1,1,34
"51143","Pittsylvania County",1,1,55
"51145","Powhatan County",1,1,28
"51153","Prince William County",16,6,523
"51161","Roanoke County",1,1,48
"51177","Spotsylvania County",1,1,150
"51179","Stafford County",12,3,449
"51195","Wise County",0,1,96
"51199","York County",11,1,240
"51510","Alexandria County",19,5,242
"51590","Danville County",1,1,43
"51610","Falls Church County",9,3,496
"51660","Harrisonburg County",7,1,112
"51680","Lynchburg County",15,1,12
"51700","Newport News County",2,2,61
"51760","Richmond County",2,2,128
"51800","Suffolk County",3,1,84
"51810","Virginia Beach County",7,1,102
"51840","Winchester County",1,1,48
"53001","Adams County",18,1,68
"53005","Benton County",3,3,82
"53009","Clallam County",2,1,100
"53011","Clark County",10,3,255
"53015","Cowlitz County",15,2,270
"53033","King County",91,25,2133
"53035","Kitsap County",7,3,242
"53037","Kittitas County",3,1,5
"53043","Lincoln County",1,1,32
"53045","Mason County",5,2,190
"53047","Okanogan County",15,3,181
"53051","Pend Oreille County",4,1,51
"53053","Pierce County",23,5,570
"53061","Snohomish County",15,3,373
"53063","Spokane County",8,7,258
"53065","Stevens County",28,2,214
"53067","Thurston County",6,5,202
"53071","Walla Walla County",5,1,18
"53073","Whatcom County",2,1,150
"53075","Whitman County",29,2,687
"53077","Yakima County",1,1,120
"54003","Berkeley County",1,1,38
"54039","Kanawha County",15,2,378
"54057","Mineral County",2,1,62
"54061","Monongalia County",1,1,54
"54081","Raleigh County",2,1,57
"54099","Wayne County",6,1,17
"54103","Wetzel County",0,0,10
"55009","Brown County",6,1,230
"55017","Chippewa County",2,1,28
"55023","Crawford County",1,1,55
"55025","Dane County",26,5,601
"55027","Dodge County",4,2,57
"55029","Door County",2,2,86
"55063","La Crosse County",3,1,40
"55071","Manitowoc County",9,1,169
"55073","Marathon County",11,3,193
"55079","Milwaukee County",26,8,982
"55087","Outagamie County",2,2,51
"55093","Pierce County",0,1,96
"55101","Racine County",2,1,94
"55105","Rock County",7,3,245
"55109","St. Croix County",25,4,466
"55115","Shawano County",2,1,96
"55133","Waukesha County",33,8,456
"55135","Waupaca County",4,1,157
"55141","Wood County",6,1,88
"56001","Albany County",8,2,190
"56021","Laramie County",1,1,40
"56025","Natrona County",1,1,48
"56027","Niobrara County",4,1,50
"56029","Park County",1,1,1
"56033","Sheridan County",1,1,2
"56039","Teton County",7,1,75
"69110","Saipan Municipality",26,2,241
